epoch,training_loss,eval_loss,accuracy,f1,precision,recall
1.0,0.6471,0.6827147603034973,0.6,0.75,0.6,1.0
2.0,0.5174,0.6771973371505737,0.65,0.7741935483870968,0.631578947368421,1.0
3.0,0.3549,0.6776856184005737,0.6,0.6363636363636364,0.7,0.5833333333333334
4.0,0.2354,0.5979737043380737,0.7,0.75,0.75,0.75
5.0,0.1333,0.54510498046875,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334
6.0,0.0581,0.6790038347244263,0.55,0.47058823529411764,0.8,0.3333333333333333
7.0,0.0321,0.6850556135177612,0.8,0.8461538461538461,0.7857142857142857,0.9166666666666666
8.0,0.0099,0.7647933959960938,0.8,0.8461538461538461,0.7857142857142857,0.9166666666666666
9.0,0.0118,0.7775437235832214,0.7,0.75,0.75,0.75
10.0,0.0049,0.7930358052253723,0.7,0.75,0.75,0.75
