epoch,training_loss,eval_loss,accuracy,f1,precision,recall
1.0,0.6988,0.6646973490715027,0.6,0.75,0.6,1.0
2.0,0.5582,0.6315430402755737,0.65,0.7741935483870968,0.631578947368421,1.0
3.0,0.3519,0.6067749857902527,0.55,0.64,0.6153846153846154,0.6666666666666666
4.0,0.1741,0.6461181640625,0.65,0.6666666666666666,0.7777777777777778,0.5833333333333334
5.0,0.0779,0.7406951189041138,0.7,0.7,0.875,0.5833333333333334
6.0,0.0298,0.8700248599052429,0.7,0.75,0.75,0.75
7.0,0.0128,0.9324557185173035,0.7,0.7,0.875,0.5833333333333334
8.0,0.0075,0.9699134826660156,0.75,0.7619047619047619,0.8888888888888888,0.6666666666666666
9.0,0.0042,0.9960387349128723,0.65,0.6666666666666666,0.7777777777777778,0.5833333333333334
10.0,0.0103,1.0032049417495728,0.65,0.6666666666666666,0.7777777777777778,0.5833333333333334
