epoch,training_loss,eval_loss,accuracy,f1,precision,recall
1.0,0.6188,0.6786133646965027,0.6,0.75,0.6,1.0
2.0,0.5291,0.5965821146965027,0.65,0.7741935483870968,0.631578947368421,1.0
3.0,0.3784,0.510986328125,0.7,0.8,0.6666666666666666,1.0
4.0,0.2663,0.4959656298160553,0.7,0.8,0.6666666666666666,1.0
5.0,0.1925,0.4201110899448395,0.75,0.782608695652174,0.8181818181818182,0.75
6.0,0.1269,0.4306488037109375,0.75,0.8148148148148148,0.7333333333333333,0.9166666666666666
7.0,0.0777,0.3975967764854431,0.8,0.8461538461538461,0.7857142857142857,0.9166666666666666
8.0,0.0542,0.404501348733902,0.85,0.8888888888888888,0.8,1.0
9.0,0.0401,0.4388321340084076,0.8,0.8571428571428571,0.75,1.0
10.0,0.0314,0.42233046889305115,0.8,0.8461538461538461,0.7857142857142857,0.9166666666666666
