epoch,training_loss,eval_loss,accuracy,f1,precision,recall
1.0,0.62,0.6833008527755737,0.6,0.75,0.6,1.0
2.0,0.4755,0.5841064453125,0.7,0.8,0.6666666666666666,1.0
3.0,0.3492,0.5798217058181763,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
4.0,0.187,0.6940552592277527,0.6,0.6,0.75,0.5
5.0,0.0827,0.9883200526237488,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
6.0,0.039,1.020296335220337,0.5,0.5454545454545454,0.6,0.5
7.0,0.0132,1.1382910013198853,0.5,0.5454545454545454,0.6,0.5
8.0,0.0078,1.343629240989685,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
9.0,0.0177,1.3769724369049072,0.55,0.6086956521739131,0.6363636363636364,0.5833333333333334
10.0,0.0029,1.3713202476501465,0.55,0.6086956521739131,0.6363636363636364,0.5833333333333334
